"id do Tweet","link permanente do Tweet","texto do Tweet","horário","impressões","engajamentos","taxa de engajamento","retweets","respostas","favoritos","cliques no perfil do usuário:","cliques no URL","cliques em hashtags:","expansões de detalhes:","cliques no link permanente","aberturas de aplicativos","instalações de aplicativo:","seguiram","Tweet enviado por e-mail","número de telefone discado","visualizações da mídia","engajamentos com mídia","impressões promovido(a)(s)","engajamentos promovido(a)(s)","taxa de engajamento promovido(a)(s)","retweets promovido(a)(s)","respostas promovido(a)(s)","favoritos promovido(a)(s)","cliques no perfil do usuário: promovido(a)(s)","cliques no URL promovido(a)(s)","cliques em hashtags: promovido(a)(s)","expansões de detalhes: promovido(a)(s)","cliques no link permanente promovido(a)(s)","aberturas de aplicativos promovido(a)(s)","instalações de aplicativo: promovido(a)(s)","seguiram promovido(a)(s)","Tweet enviado por e-mail promovido(a)(s)","número de telefone discado promovido(a)(s)","visualizações da mídia promovido(a)(s)","engajamentos com mídia promovido(a)(s)"
"1510987568413818880","https://twitter.com/vayno/status/1510987568413818880","meio ruim 2/10
nada supera o
""Eu sou cleptomaníaco, se eu for na tua casa vou roubar algo, mas pode ser teu coração"" https://t.co/GKcPYEhINu","2022-04-04 14:28 +0000","141.0","4.0","0.028368794326241134","0.0","1.0","1.0","2.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1510982362397618178","https://twitter.com/vayno/status/1510982362397618178","@natoichi https://t.co/ekQtVb1sbG","2022-04-04 14:07 +0000","32.0","2.0","0.0625","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1510977220445196291","https://twitter.com/vayno/status/1510977220445196291","@natoichi somos lindos amigo e quem dizer ao contrário é clubista invejoso","2022-04-04 13:46 +0000","23.0","1.0","0.043478260869565216","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1510974973023858699","https://twitter.com/vayno/status/1510974973023858699","Começando a semana familia, essa semana vai ser pika
Valeu @ deus pela saúde mental diária, e valeu @ eu né caralho, por não se auto sabotar mais

IRRA FILHAS DA PUTA","2022-04-04 13:38 +0000","91.0","3.0","0.03296703296703297","0.0","0.0","2.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1510965122046509064","https://twitter.com/vayno/status/1510965122046509064","@natoichi Eu gosto do natinho","2022-04-04 12:58 +0000","34.0","2.0","0.058823529411764705","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1510775781202485248","https://twitter.com/vayno/status/1510775781202485248","dhuashushueahueaaheu ""i can fix him"" https://t.co/DlmADXWqhJ","2022-04-04 00:26 +0000","52.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1510670110549233674","https://twitter.com/vayno/status/1510670110549233674","@yuichiroismine wait ... can u explain? i dont get it
yuu was the sacrifice?","2022-04-03 17:26 +0000","43.0","4.0","0.09302325581395349","0.0","2.0","0.0","2.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1510666280860332035","https://twitter.com/vayno/status/1510666280860332035","https://t.co/uAEzPRC6Tc","2022-04-03 17:11 +0000","99.0","10.0","0.10101010101010101","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","9","9","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1510665480859799555","https://twitter.com/vayno/status/1510665480859799555","🫱🤝🫲  # pas https://t.co/fZmHpivdmo","2022-04-03 17:08 +0000","90.0","6.0","0.06666666666666667","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","6","6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1510658319509245966","https://twitter.com/vayno/status/1510658319509245966","ok, fora de contexto isso é muito bom https://t.co/hr8XUBngNy","2022-04-03 16:39 +0000","125.0","3.0","0.024","0.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1510392170297110535","https://twitter.com/vayno/status/1510392170297110535","cara, acho que vou colocar o celular do aw num anuncio de venda de porco

magina ele acordando na fodendo irlanda e tá um sulista ddd 51 mandando um
""eai piá, já vendeu o leitão?""","2022-04-02 23:02 +0000","91.0","2.0","0.02197802197802198","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1510258270790995977","https://twitter.com/vayno/status/1510258270790995977","""i can fix her"" e ""fé nas malucas"" são as maiores bullshits que já existiram, NUNCA, REPITO, NUNCA VAI VALER A PENA TU TORRAR TEU MENTAL, POR UMA PESSOA QUE NÃO TÁ DANDO UMA FODA, ela não vai melhorar amigão, não vai melhorar por ti não

no máximo por ela, e sabe se lá quando","2022-04-02 14:10 +0000","109.0","3.0","0.027522935779816515","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1510235868321271809","https://twitter.com/vayno/status/1510235868321271809","@whoisVvdc tu vai entender isso, eu confio https://t.co/5cq9YmQzfJ","2022-04-02 12:41 +0000","42.0","2.0","0.047619047619047616","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1510103475031523330","https://twitter.com/vayno/status/1510103475031523330","AMIGOS, MELHOR PRIMEIRO DE ABRIL FÁCIL DESSE JOG AQ, TÁ?

EU RECEBI UM EMOTE TIMIDINHO DA CATAPA, EU NUNCA FUI TRISTE PQP https://t.co/5fLUKnynvl","2022-04-02 03:54 +0000","201.0","24.0","0.11940298507462686","0.0","2.0","3.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","87","18","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1510078443559563267","https://twitter.com/vayno/status/1510078443559563267","@SnakeMoru o suporte tem que me carregar, né?","2022-04-02 02:15 +0000","27.0","1.0","0.037037037037037035","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1510075721313624069","https://twitter.com/vayno/status/1510075721313624069","TÁ POTENTE https://t.co/IhTNEhiknA","2022-04-02 02:04 +0000","145.0","7.0","0.04827586206896552","0.0","1.0","1.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","4","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1510060229349851136","https://twitter.com/vayno/status/1510060229349851136","queria https://t.co/mR9HUlaugr","2022-04-02 01:03 +0000","63.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1510003986035879954","https://twitter.com/vayno/status/1510003986035879954","M E T A https://t.co/HwlhexaaRc","2022-04-01 21:19 +0000","102.0","5.0","0.049019607843137254","0.0","1.0","0.0","1.0","0.0","0.0","3.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1509972936312164352","https://twitter.com/vayno/status/1509972936312164352","twitter in a nutshell https://t.co/e95jZhJ67A","2022-04-01 19:16 +0000","162.0","7.0","0.043209876543209874","0.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","5","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1509969625844432906","https://twitter.com/vayno/status/1509969625844432906","agora eu quero jogar até ser o mega creep
só pra printar https://t.co/UXxsM25wGd","2022-04-01 19:03 +0000","60.0","1.0","0.016666666666666666","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1509962622032130048","https://twitter.com/vayno/status/1509962622032130048","@whoisVvdc Meu sextou tá diferente 🥺🥺","2022-04-01 18:35 +0000","28.0","2.0","0.07142857142857142","0.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1509959634597122048","https://twitter.com/vayno/status/1509959634597122048","@demonallchan Se a gente não se reunir pra ver esse jogo eu virei uma torradeira que faz plim","2022-04-01 18:23 +0000","50.0","3.0","0.06","0.0","2.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1509959427624951813","https://twitter.com/vayno/status/1509959427624951813","@whoisVvdc Que?","2022-04-01 18:22 +0000","52.0","4.0","0.07692307692307693","0.0","1.0","1.0","1.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1509923196790874116","https://twitter.com/vayno/status/1509923196790874116","@Nequisuis Capítulo novo de owari próxima semana, tá tudo bem 🫂

Melhores nego, qualquer coisa fala comigo","2022-04-01 15:58 +0000","21.0","2.0","0.09523809523809523","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1509921935639068683","https://twitter.com/vayno/status/1509921935639068683","@Nequisuis Que pasa, puta?","2022-04-01 15:53 +0000","32.0","2.0","0.0625","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1509915045299470347","https://twitter.com/vayno/status/1509915045299470347","Aí eh foda ahsuahhshs https://t.co/ktF5j0LdHL","2022-04-01 15:26 +0000","63.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1509912457506131977","https://twitter.com/vayno/status/1509912457506131977","@dudu_araujo8 Ahhh com meu gato, neh paezao
🤪","2022-04-01 15:15 +0000","40.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1509895192589090817","https://twitter.com/vayno/status/1509895192589090817","O VAYNOVERSO É REAL, e vocês conheceram o melhor dos vaynos, tá? 😶🫱🌹","2022-04-01 14:07 +0000","87.0","2.0","0.022988505747126436","0.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
